0;7;1;42;6
1;8;2;43;0
2;9;3;44;1
3;10;4;45;2
4;11;5;46;3
5;12;6;47;4
6;13;0;48;5
7;14;8;0;13
8;15;9;1;7
9;16;10;2;8
10;17;11;3;9
11;18;12;4;10
12;19;13;5;11
13;20;7;6;12
14;21;15;7;20
15;22;16;8;14
16;23;17;9;15
17;24;18;10;16
18;25;19;11;17
19;26;20;12;18
20;27;14;13;19
21;28;22;14;27
22;29;23;15;21
23;30;24;16;22
24;31;25;17;23
25;32;26;18;24
26;33;27;19;25
27;34;21;20;26
28;35;29;21;34
29;36;30;22;28
30;37;31;23;29
31;38;32;24;30
32;39;33;25;31
33;40;34;26;32
34;41;28;27;33
35;42;36;28;41
36;43;37;29;35
37;44;38;30;36
38;45;39;31;37
39;46;40;32;38
40;47;41;33;39
41;48;35;34;40
42;0;43;35;48
43;1;44;36;42
44;2;45;37;43
45;3;46;38;44
46;4;47;39;45
47;5;48;40;46
48;6;42;41;47
