action;iteration;particle;x;y;fitness
0;1;0;4.784911;3.823274;4.117814
0;1;1;0.152304;-5.836596;4.289371
0;1;2;3.667474;-1.241793;3.658287
0;1;3;-12.417548;-12.903718;4.140366
0;1;4;0.271886;9.182977;4.272536
0;1;5;-7.011310;18.859797;2.106321
0;1;6;11.066380;5.236024;3.048535
0;1;7;2.163385;13.736273;4.377825
0;1;8;26.857573;-1.911066;3.134841
0;1;9;-20.634447;-11.141485;4.169015
0;1;10;5.912077;9.082103;2.292799
0;1;11;-22.875067;-10.458055;4.682686
0;1;12;12.677235;9.282004;4.022048
0;1;13;-9.432108;-1.187059;4.862831
0;1;14;0.453355;5.632211;5.324366
0;1;15;-18.017639;-1.745670;2.597410
0;1;16;12.224695;-16.802238;3.745185
0;1;17;-23.038385;1.668554;2.242607
0;1;18;-11.593269;-17.191837;4.854241
0;1;19;1.102671;-20.151800;3.091673
0;1;20;-6.543478;-1.946172;4.254750
0;1;21;8.767398;0.897462;3.013992
0;1;22;13.519219;-2.342750;5.249649
0;1;23;12.725679;-0.852524;4.073256
0;1;24;-2.254950;1.865780;3.714622
0;1;25;26.273130;-23.801119;4.286534
0;1;26;-0.007105;4.524209;3.791436
0;1;27;-6.919027;-1.057719;2.319284
0;1;28;23.182316;-18.018534;2.763627
0;1;29;-6.425922;1.790528;4.990472
0;1;30;-9.678721;-1.408029;4.405463
0;1;31;24.637632;-11.192911;4.331561
0;1;32;-0.171654;4.813623;4.315784
0;1;33;-5.797379;0.994773;2.405259
0;1;34;2.612436;-6.211789;4.845842
0;1;35;-23.111532;-0.137415;2.798909
0;1;36;-1.543975;1.064773;4.216597
0;1;37;-17.828285;2.377105;4.892863
0;1;38;-2.852310;3.886577;2.926126
0;1;39;-10.801794;-0.382228;4.710137
0;1;40;0.086195;-14.007796;1.368182
0;1;41;-17.979218;2.900433;1.694515
0;1;42;-2.714366;9.692577;4.014531
0;1;43;16.273630;5.447769;5.176485
0;1;44;6.847531;-7.944281;3.283521
0;1;45;-2.672307;-0.183451;3.813633
0;1;46;-5.255946;31.833000;4.433217
0;1;47;-2.006117;12.777909;1.915285
0;1;48;1.811915;8.980287;2.649988
0;2;0;0.138046;3.263442;3.818933
0;2;1;0.128753;-7.327109;3.524953
0;2;2;1.375618;-1.813716;4.546679
0;2;3;2.065235;1.006274;1.445794
0;2;4;-8.426724;20.709188;5.094702
0;2;5;-7.103931;27.108543;2.267897
0;2;6;3.162997;17.781818;4.065048
0;2;7;-0.709554;-2.593693;4.818507
0;2;8;-17.091730;-0.410952;4.087290
0;2;9;-13.131454;1.550403;4.723949
0;2;10;6.663731;5.037035;2.180025
0;2;11;-17.832537;2.648293;4.663397
0;2;12;3.716947;25.364540;4.478584
0;2;13;-0.940337;-0.328905;2.873419
0;2;14;0.309090;0.910522;3.078814
0;2;15;-20.252714;-2.667241;3.615581
0;2;16;19.287029;-18.002163;2.280313
0;2;17;-39.995026;3.018560;0.881684
0;2;18;-21.774471;-4.974304;2.257420
0;2;19;1.145814;-11.320610;3.577976
0;2;20;-4.228877;0.673120;3.622555
0;2;21;5.358404;1.716790;4.296208
0;2;22;-8.235599;-2.749708;3.903546
0;2;23;2.365630;-0.317125;4.167672
0;2;24;-3.635238;2.031168;2.969722
0;2;25;43.430649;-38.578598;5.841172
0;2;26;-3.708799;-2.780365;3.772578
0;2;27;-6.629665;-0.213655;4.034090
0;2;28;11.895716;9.816439;3.247248
0;2;29;-7.223931;0.918270;2.832430
0;2;30;-9.691721;0.686827;3.798213
0;2;31;20.643082;-8.785536;3.994286
0;2;32;-1.521555;7.694615;5.337160
0;2;33;-8.911918;-1.582826;4.072821
0;2;34;-0.941079;3.340419;3.019006
0;2;35;-12.733983;0.227504;3.967856
0;2;36;-11.448324;2.060966;4.008877
0;2;37;-3.500417;1.670886;5.590692
0;2;38;-4.595557;6.965577;3.364321
0;2;39;-5.480866;-8.717999;5.653591
0;2;40;0.168646;-24.332302;3.934561
0;2;41;-5.477892;-8.236706;5.409776
0;2;42;1.149091;-1.418414;4.675206
0;2;43;10.646672;2.392791;5.104345
0;2;44;7.081877;-12.324678;2.839577
0;2;45;-4.562951;0.905417;4.129869
0;2;46;-5.276291;33.468517;5.690995
0;2;47;-1.707737;8.579540;4.850493
0;2;48;0.444995;8.414651;5.637740
0;3;0;-3.527210;0.298875;5.284872
0;3;1;0.071581;-0.163032;3.367893
0;3;2;3.259277;1.975817;2.356048
0;3;3;12.635407;11.158399;4.525847
0;3;4;1.047216;-14.509912;4.673490
0;3;5;-4.076520;25.629278;3.254550
0;3;6;-12.373930;27.417244;5.300015
0;3;7;-1.434704;-8.060833;3.994660
0;3;8;-41.301544;1.279362;4.255276
0;3;9;10.696848;6.854092;3.778608
0;3;10;-43.415176;1.065588;3.960174
0;3;11;18.710447;13.745328;4.097973
0;3;12;-3.836905;13.519776;5.712401
0;3;13;5.257331;0.297414;3.810194
0;3;14;0.070611;-3.429873;4.026010
0;3;15;-10.758537;-0.698914;4.024894
0;3;16;-58.148968;-18.413118;4.726336
0;3;17;-52.370728;4.003854;2.377560
0;3;18;-44.190407;5.599602;4.985507
0;3;19;-18.722174;-3.446964;5.279253
0;3;20;-1.684831;2.188746;4.076494
0;3;21;-2.565536;1.164814;5.257951
0;3;22;-11.387562;1.907705;4.271495
0;3;23;-8.686790;0.777783;3.529258
0;3;24;-8.293708;3.169643;4.303100
0;3;25;-33.966568;3.428909;3.552826
0;3;26;-9.872058;-6.654421;3.507752
0;3;27;-2.250847;0.405543;4.732816
0;3;28;-14.578526;11.273909;5.212327
0;3;29;-1.271550;-0.028051;2.712901
0;3;30;8.256128;1.290528;4.073156
0;3;31;13.747380;-2.107039;3.134148
0;3;32;-4.502486;-1.326735;5.621877
0;3;33;-4.116764;-6.613012;4.167151
0;3;34;-1.961699;4.467552;4.012654
0;3;35;1.115211;-0.157314;3.319720
0;3;36;-21.032467;0.618284;3.249869
0;3;37;14.811624;-8.406767;4.747007
0;3;38;-3.889027;1.618403;3.652362
0;3;39;-3.923456;-13.688349;2.981617
0;3;40;0.109397;-12.081126;2.234109
0;3;41;-6.834492;-13.994004;2.707825
0;3;42;3.829644;-8.474854;5.878345
0;3;43;-12.970227;-1.003667;0.773802
0;3;44;7.252913;-15.521686;5.494067
0;3;45;-4.243968;0.683634;3.973935
0;3;46;-4.900158;27.423775;4.089200
0;3;47;-0.923592;-13.242859;3.054328
0;3;48;-4.147544;2.277931;4.201247
0;4;0;1.577690;-2.447512;5.826866
0;4;1;-2.317179;4.070031;2.914204
0;4;2;4.614716;4.043262;3.759466
0;4;3;3.414684;9.664915;4.511189
0;4;4;7.746198;1.735710;4.111867
0;4;5;-5.084324;11.745672;3.192298
0;4;6;-18.970629;5.184067;2.655937
0;4;7;-0.490465;2.691674;5.549193
0;4;8;9.664173;2.263453;3.687051
0;4;9;16.541473;-8.122219;4.625886
0;4;10;-49.399178;3.054403;4.014520
