0;7;8;1;43;42;48;6;13
1;8;9;2;44;43;42;0;7
2;9;10;3;45;44;43;1;8
3;10;11;4;46;45;44;2;9
4;11;12;5;47;46;45;3;10
5;12;13;6;48;47;46;4;11
6;13;7;0;42;48;47;5;12
7;14;15;8;1;0;6;13;20
8;15;16;9;2;1;0;7;14
9;16;17;10;3;2;1;8;15
10;17;18;11;4;3;2;9;16
11;18;19;12;5;4;3;10;17
12;19;20;13;6;5;4;11;18
13;20;14;7;0;6;5;12;19
14;21;22;15;8;7;13;20;27
15;22;23;16;9;8;7;14;21
16;23;24;17;10;9;8;15;22
17;24;25;18;11;10;9;16;23
18;25;26;19;12;11;10;17;24
19;26;27;20;13;12;11;18;25
20;27;21;14;7;13;12;19;26
21;28;29;22;15;14;20;27;34
22;29;30;23;16;15;14;21;28
23;30;31;24;17;16;15;22;29
24;31;32;25;18;17;16;23;30
25;32;33;26;19;18;17;24;31
26;33;34;27;20;19;18;25;32
27;34;28;21;14;20;19;26;33
28;35;36;29;22;21;27;34;41
29;36;37;30;23;22;21;28;35
30;37;38;31;24;23;22;29;36
31;38;39;32;25;24;23;30;37
32;39;40;33;26;25;24;31;38
33;40;41;34;27;26;25;32;39
34;41;35;28;21;27;26;33;40
35;42;43;36;29;28;34;41;48
36;43;44;37;30;29;28;35;42
37;44;45;38;31;30;29;36;43
38;45;46;39;32;31;30;37;44
39;46;47;40;33;32;31;38;45
40;47;48;41;34;33;32;39;46
41;48;42;35;28;34;33;40;47
42;0;1;43;36;35;41;48;6
43;1;2;44;37;36;35;42;0
44;2;3;45;38;37;36;43;1
45;3;4;46;39;38;37;44;2
46;4;5;47;40;39;38;45;3
47;5;6;48;41;40;39;46;4
48;6;0;42;35;41;40;47;5
